1;1;1;2024-11-01
2;2;3;2024-11-02
3;1;4;2024-11-03
4;2;1;2024-11-04
5;3;2;2024-11-04
6;1;5;2024-11-05
7;2;6;2024-11-06
8;1;2;2024-11-07
9;3;4;2024-11-07
10;2;7;2024-11-08
11;1;3;2024-11-09
12;3;1;2024-11-10
13;1;6;2024-11-10
14;2;2;2024-11-11
15;3;5;2024-11-12
16;1;7;2024-11-13
17;2;4;2024-11-14
18;3;3;2024-11-15
19;1;1;2024-11-16
20;3;7;2024-11-17
22;14;10;2024-11-18
23;13;9;2024-11-24
24;15;22;2024-11-23
25;15;6;2024-11-13
26;14;9;2024-11-19
27;13;2;2024-11-21
28;14;6;2024-11-03
29;15;2;2024-11-25
30;14;6;2024-11-20
31;13;10;2024-11-08
